iter	MAE	RMSE
767	0.2539995842	0.3858684073
768	0.2538733783	0.3856891951
769	0.2537947216	0.3855900475
770	0.2537520288	0.3855229785
771	0.2536997475	0.3854600985
772	0.253643763	0.3854073885
773	0.2535984204	0.3853610334
774	0.2535317645	0.3852640719
775	0.2534735956	0.3851891365
776	0.2534590875	0.3851647387
777	0.2534231994	0.3851279192
778	0.2533824392	0.3850768851
779	0.2532700311	0.3849241259
780	0.2531843629	0.3847981732
781	0.2531427752	0.3847216313
782	0.253087221	0.3846174546
783	0.2530241092	0.3845213855
784	0.25294212	0.384397696
785	0.2528717858	0.3842915968
786	0.252851726	0.3842548789
787	0.2528187466	0.3842031326
788	0.2527770607	0.3841420247
789	0.2526812492	0.3839767141
790	0.2526249361	0.3838866698
791	0.25258791	0.3838120656
792	0.2525384313	0.3837373354
793	0.2524388223	0.3835708561
794	0.2523611219	0.3834610495
795	0.2523156182	0.3834173872
796	0.2522586916	0.3833060706
797	0.2521836079	0.3831907799
798	0.2521808326	0.3831874119
799	0.2521456885	0.3831072296
800	0.2520839153	0.3830280708
801	0.2519813455	0.3828939529
802	0.2519020622	0.3827756813
803	0.2518703532	0.3827177343
804	0.2518228733	0.3826457456
805	0.2517509723	0.382581125
806	0.2517106959	0.3824961772
807	0.2516470815	0.3824244368
808	0.2516168709	0.3823633358
809	0.2514776226	0.382216615
810	0.2514000794	0.3821208958
811	0.2513240858	0.3820092795
812	0.2512951365	0.3819527917
813	0.2512443959	0.3818641145
814	0.2511855172	0.3818078895
815	0.2511236877	0.3817269413
816	0.2510618555	0.3816676943
817	0.2510225095	0.3815969784
818	0.2509854871	0.3815289584
819	0.2509318795	0.3814156302
820	0.2509072109	0.3813830487
821	0.2508993528	0.3813743767
822	0.250857668	0.3813099061
823	0.2507800821	0.3812003191
824	0.2507642952	0.3811698831
825	0.2507202984	0.3811116041
826	0.2507075978	0.3810825301
827	0.250613806	0.3809540789
828	0.2505707366	0.3809148116
829	0.2505020551	0.3808536991
830	0.2504544775	0.3807934859
831	0.2504349183	0.3807614095
