make,model,annual_dep_rate
CHANGAN,UNIV,0.0436453017753286
CHANGAN,UNIVERSAL,0.0436453017753286
CHANGAN,X5,0.0436453017753286
CHANGAN,X5 PLUS,0.2812241521918929
CHANGHUA,MAX PRO,0.1195580092498166
CHERVOLET,CAPRICE,0.1963176651912034
CHERY,ARRIZO 3,0.1016868817435711
CHERY,ARRIZO 5,0.1020300415400086
CHERY,ARRIZO 6 PRO,0.0602522327144142
CHERY,ARRIZO 7,0.224811357673077
CHERY,ARRIZO 8,0.0986121811340037
CHERY,ARRIZO 8 PRO,0.0664447403462031
CHERY,ARRIZO5,-0.0408655457385822
CHERY,E5,-1.7499999999999902
CHERY,EASTAR,0.1633399734659244
CHERY,ICAR 03,-0.0408655457385822
CHERY,ICAR V23,-0.0408655457385822
CHERY,ICAR V27,-0.0408655457385822
CHERY,LX,-0.0408655457385822
CHERY,NISSAN TIIDA,-0.0408655457385822
CHERY,RELY RB (PICK UP),-0.0408655457385822
CHERY,RX,-0.0408655457385822
CHERY,TIGGO,0.1734158144159823
CHERY,TIGGO 3,-0.0408655457385822
CHERY,TIGGO 4 PRO,0.0970127318109446
CHERY,TIGGO 5,0.101782846299572
CHERY,TIGGO 7,-0.0345234878285476
CHERY,TIGGO 7 PRO,-0.0064355581581923
CHERY,TIGGO 7 PRO MAX,0.0362316775062563
CHERY,TIGGO 8,-0.3374613003095992
CHERY,TIGGO 8 PRO,0.1731936239660969
CHERY,TIGGO 8 PRO MAX,0.0396989374139166
CHERY,TIGGO 9,0.0475352112676038
CHERY,UNKNOWN,-0.0408655457385822
CHERY,iCAR,-0.0408655457385822
CHERY - ICAR,03,0.0710059171597642
CHERY - ICAR,03T,0.0710059171597642
CHERY - ICAR,V23,0.0710059171597642
CHERY - ICAR,V27,0.0710059171597642
CHEVROLET,1998,0.135661726309024
CHEVROLET,2013,0.135661726309024
CHEVROLET,ASTRO,-0.0318492017770868
CHEVROLET,AVALANCHE,0.1780735338881974
CHEVROLET,AVEO,0.1444230233022972
CHEVROLET,AVEO HATCHBACK,0.1444230233022972
CHEVROLET,AVEO5,0.1444230233022972
CHEVROLET,BLAZER,0.0953533760701462
CHEVROLET,BOLT,0.0376723937833203
CHEVROLET,BOLT EUV,0.0376723937833203
CHEVROLET,BOLT EV,0.0376723937833203
CHEVROLET,C 10,0.025
CHEVROLET,C-10,0.025
CHEVROLET,C5500,0.135661726309024
CHEVROLET,CAMARO,0.1533607215439537
CHEVROLET,CAMARO CONVERTIBLE,0.1533607215439537
