model_slug,model_name,year,trim_name,price_aed,url,scraped_at
toyota-avalon,Avalon,2016,2016 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2016/,2026-06-11T12:41:43Z
toyota-avalon,Avalon,2017,Original Starting Price,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,Unknown,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,Unknown,134000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,SE Plus,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,Grande,154000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,2017 Dodge Charger,120000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,2017 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2017,2017 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2017/,2026-06-11T12:41:45Z
toyota-avalon,Avalon,2018,Original Starting Price,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,Unknown,119000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,Unknown,134000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,SE Plus,149000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,Grande,154000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,2018 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,2018 Dodge Charger,120000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2018,2018 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2018/,2026-06-11T12:41:47Z
toyota-avalon,Avalon,2019,Original Starting Price,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2019/,2026-06-11T12:41:49Z
toyota-avalon,Avalon,2019,Avalon SE Plus,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2019/,2026-06-11T12:41:49Z
toyota-avalon,Avalon,2019,Avalon Limited,164900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2019/,2026-06-11T12:41:49Z
toyota-avalon,Avalon,2019,2019 Dodge Charger,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2019/,2026-06-11T12:41:49Z
toyota-avalon,Avalon,2019,2019 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2019/,2026-06-11T12:41:49Z
toyota-avalon,Avalon,2019,2019 Ford Taurus,98000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2019/,2026-06-11T12:41:49Z
toyota-avalon,Avalon,2020,Original Starting Price,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2020/,2026-06-11T12:41:50Z
toyota-avalon,Avalon,2020,Avalon SE Plus,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2020/,2026-06-11T12:41:50Z
toyota-avalon,Avalon,2020,Avalon Limited,164900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2020/,2026-06-11T12:41:50Z
toyota-avalon,Avalon,2020,2019 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2020/,2026-06-11T12:41:50Z
toyota-avalon,Avalon,2020,2020 Ford Taurus,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2020/,2026-06-11T12:41:50Z
toyota-avalon,Avalon,2020,2020 Dodge Charger,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2020/,2026-06-11T12:41:50Z
toyota-avalon,Avalon,2021,Original Starting Price,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2021/,2026-06-11T12:41:52Z
toyota-avalon,Avalon,2021,Avalon SE Plus,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2021/,2026-06-11T12:41:52Z
toyota-avalon,Avalon,2021,Avalon Limited,164900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2021/,2026-06-11T12:41:52Z
toyota-avalon,Avalon,2021,2019 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2021/,2026-06-11T12:41:52Z
toyota-avalon,Avalon,2021,2021 Dodge Charger,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2021/,2026-06-11T12:41:52Z
toyota-avalon,Avalon,2021,2021 Ford Taurus,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2021/,2026-06-11T12:41:52Z
toyota-avalon,Avalon,2022,Original Starting Price,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-11T12:41:54Z
toyota-avalon,Avalon,2022,Avalon SE Plus,144900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-11T12:41:54Z
toyota-avalon,Avalon,2022,Avalon Limited,164900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-11T12:41:54Z
toyota-avalon,Avalon,2022,2019 Chevrolet Impala,109600,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-11T12:41:54Z
toyota-avalon,Avalon,2022,2022 Dodge Charger,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-11T12:41:54Z
toyota-avalon,Avalon,2022,2022 Ford Taurus,109900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avalon/2022/,2026-06-11T12:41:54Z
toyota-avanza,Avanza,2015,Original Starting Price,54900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avanza/2015/,2026-06-11T12:42:05Z
toyota-avanza,Avanza,2015,Unknown,54900,https://www.drivearabia.com/carprices/uae/toyota/toyota-avanza/2015/,2026-06-11T12:42:05Z
toyota-avanza,Avanza,2015,2009 Renault Scenic,70000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avanza/2015/,2026-06-11T12:42:05Z
toyota-avanza,Avanza,2015,2015 Kia Carens,65000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avanza/2015/,2026-06-11T12:42:05Z
toyota-avanza,Avanza,2015,2015 Opel Meriva,74000,https://www.drivearabia.com/carprices/uae/toyota/toyota-avanza/2015/,2026-06-11T12:42:05Z
