=== CARS MISSING DEPRECIATION VALUES ===
Make                 | Model                          | Chassis/VIN         
NISSAN               | PATROL                         | JN10WGY60U0854818   
NISSAN               | PATROL                         | JN1TFSY61Z0573244   
NISSAN               | PATROL                         | JN10WGY60Z0850185   
NISSAN               | PATROL                         | JN1TBSY61Z0405280   
NISSAN               | PATROL                         | JN1TANY62U0000709   
NISSAN               | PATROL                         | WGY60381951          (Error: No module named 'shap')
NISSAN               | PATROL                         | WGY60381951123654   
NISSAN               | PATROL                         | JNBAY2NY8P9477602   
NISSAN               | PATROL                         | JN6DYLAY7JX640183   
NISSAN               | PATROL                         | JN1TFSY61Z0573839   
NISSAN               | PATROL                         | JN8FY15YX3X501467   
NISSAN               | PATROL                         | JN1TFSY61Z0570721   
NISSAN               | PATROL                         | WGY60306626          (Error: No module named 'shap')
NISSAN               | PATROL                         | ADNCAND23Z0048903   
NISSAN               | PATROL                         | JN8FY15YX3X505664   
NISSAN               | PATROL                         | JN8AY2NY9H9301966   
NISSAN               | PATROL                         | JN8AY2NY1R9500527   
NISSAN               | PATROL                         | JN8BY12Y2AX000265   
NISSAN               | PATROL                         | JN8AY2NY8K9367819   
NISSAN               | PATROL                         | JN8AY2NY9H9307850   
NISSAN               | PATROL                         | UGY60080212          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8AY25Y8B9010527   
NISSAN               | PATROL                         | JN8AY2NY4G9211168   
NISSAN               | PATROL                         | JN8AY2NYXF9128472   
NISSAN               | PATROL                         | JN8BY2NY4M9341693   
NISSAN               | PATROL                         | JN8BY2NY1J9109063   
NISSAN               | PATROL                         | JN8FY1NY5MX036128   
NISSAN               | PATROL                         | WGY60364128          (Error: No module named 'shap')
NISSAN               | PATROL                         | HCR32021525000000   
NISSAN               | PATROL                         | JN8BY2NY8M9350588   
NISSAN               | PATROL                         | WGY60322438          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN1TFSY61Z0571334   
NISSAN               | PATROL                         | JN88Y2NY5H9021093   
NISSAN               | PATROL                         | JN8FY1JY4HX012575   
NISSAN               | PATROL                         | JN8AY2NY7J9351383   
NISSAN               | PATROL                         | JN8BY2NY0J9120071   
NISSAN               | PATROL                         | JN8AY2NY2M9420646   
NISSAN               | PATROL                         | JN8AY2NY9F9125384   
NISSAN               | PATROL                         | JN8BY2NYOL9318247   
NISSAN               | PATROL                         | JN8AY3NY5T9107322   
NISSAN               | PATROL                         | JN8FY1NYXNX101623   
NISSAN               | PATROL                         | JN1TASY61Z0401075   
NISSAN               | PATROL                         | JN8FY1NYXFX010515   
NISSAN               | PATROL                         | JN1TCSY61Z0502265   
NISSAN               | PATROL                         | JN8FY12Y5CX005304   
NISSAN               | PATROL                         | JN8AY2NY2J9353705   
NISSAN               | PATROL                         | JN8BY3NYXT9059921   
NISSAN               | PATROL                         | JN1TBSY61Z0404221   
NISSAN               | PATROL                         | JN10WGY60Z0860439   
NISSAN               | PATROL                         | JN8AY2NY1K9370416   
NISSAN               | PATROL                         | JN8BY3NYXS9006098   
NISSAN               | PATROL                         | JN88Y3NY959002513   
NISSAN               | PATROL                         | JN8BY2NY1N9376709   
NISSAN               | PATROL                         | JN8AY2NY9P9470044   
NISSAN               | PATROL                         | JN8FY1NY9HX023081   
NISSAN               | PATROL                         | WGY60363868          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8AY2NY4F9122828   
NISSAN               | PATROL                         | WGY60324483          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8BY15Y3YX451453   
NISSAN               | PATROL                         | WGY60813640          (Error: No module named 'shap')
NISSAN               | PATROL                         | JN8AY2NYOK9366048   
NISSAN               | PATROL                         | JNBFY1NYXJX029543   
NISSAN               | PATROL                         | JN8AY25Y7A9003955   
NISSAN               | PATROL                         | 2T2ZK1BA6FC207242   
NISSAN               | PATROL                         | JN1TANY62Z0171473   
NISSAN               | PATROL                         | JN8AY2NY6L9400673   
NISSAN               | PATROL                         | JN8BY2NY7K9183900   
NISSAN               | PATROL                         | JN8AY25Y8A9007755   
NISSAN               | PATROL                         | JN8AY2NY3D9058665   
NISSAN               | PATROL                         | JN8AY2NY5L9402155   
NISSAN               | PATROL                         | JN8AY25Y4A9000852   
NISSAN               | PATROL                         | JN8BY14Y77X535288   
NISSAN               | PATROL                         | JN1TANY62U0016794   
NISSAN               | PATROL                         | JN8FY1NY3NX100006   
NISSAN               | PATROL                         | JN8AY2NY4F9130122   
NISSAN               | PATROL                         | JN8AY2NY3N9449994   
NISSAN               | PATROL                         | JN8BY2NY3R9446359   
NISSAN               | PATROL                         | JN8AY2NY7N9450811   
NISSAN               | PATROL                         | JN8BY14Y4YX430077   
NISSAN               | PATROL                         | JN8FY1JY9FX005716   
NISSAN               | PATROL                         | JN8BY2NY6R9448543   
NISSAN               | PATROL                         | JN8FY1NY9JX029534   
NISSAN               | PATROL                         | JN8AY25Y4B9013697   
NISSAN               | PATROL                         | JN8FY1NY5KX032013   
NISSAN               | PATROL                         | JN8BY2NY6N9374082   
NISSAN               | PATROL                         | JNBAY2NY2M9420646   
NISSAN               | PATROL                         | JN8AY25Y9C9032246   
NISSAN               | PATROL                         | JN8BY2NY2M9347394   
NISSAN               | PATROL                         | JN8FY15Y63X502731   
NISSAN               | PATROL                         | JN8AY2NY0F9137987   
NISSAN               | PATROL                         | JN88Y2NY3J9120677   
NISSAN               | PATROL                         | JN8FY15Y1BX582857   
NISSAN               | PATROL                         | JN8AY3NY6T9113839   
NISSAN               | PATROL                         | JN8AY2NY2L9407698   
NISSAN               | PATROL                         | JN8AY2NY269217759   
NISSAN               | PATROL                         | JN8FY15YX3X502621   
NISSAN               | PATROL                         | JN6DY1AY9EX603867   
NISSAN               | PATROL                         | JN8BY2NYXP9415882   
NISSAN               | PATROL                         | JN8BY2NY8H9010654   
NISSAN               | PATROL                         | JN1TESY61Z0556153   
NISSAN               | PATROL                         | JN8BY3NY319062174   
NISSAN               | PATROL                         | JN10WGY60Z0851197   
NISSAN               | PATROL                         | JN10WGY60Z0862837   
NISSAN               | PATROL                         | JN8AY2NY3G9143462   
NISSAN               | PATROL                         | JTEBU14R368061537   
NISSAN               | PATROL                         | JN1TFSY61Z0573078   
NISSAN               | PATROL                         | JN8BY14Y42X445671   
NISSAN               | PATROL                         | JN8BY2NY5L9305591   
NISSAN               | PATROL                         | JN8BY2NYXJ9113080   
NISSAN               | PATROL                         | JN8FY1NY9GX017764   
NISSAN               | PATROL                         | JN8AY25Y8A9007996   
NISSAN               | PATROL                         | JN8AY2NYXP9472966   
NISSAN               | PATROL                         | JN8FY1NY5PX044637   
NISSAN               | PATROL                         | JN10WGY60Z0085332   
NISSAN               | PATROL                         | JN10WGY60Z0085332   
NISSAN               | PATROL                         | JN8FY1JY0FX005765   
NISSAN               | PATROL                         | JN8FY15Y88X569578   
NISSAN               | PATROL                         | JN8AY3NY7T9107337   
NISSAN               | PATROL                         | JNBBY2NY6N9374082   
NISSAN               | PATROL                         | JN8AY2NY5G9212944   
NISSAN               | PATROL                         | JN8FY15Y89X575625   
NISSAN               | PATROL                         | JN8AY2NY4M9421202   
NISSAN               | PATROL                         | JN10WGY60Z0852684   
NISSAN               | PATROL                         | JN1TESY61U0143738   
NISSAN               | PATROL                         | JN8BY2NY6L9318656   
NISSAN               | PATROL                         | JN8FY1NY1KX032770   
